date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:58:16	328441/328441	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2019%20Apr%202020%2016:34:20%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/js/plugins.js	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/js/plugins.js	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:58:17	15235/15235	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2026%20Apr%202020%2013:44:04%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/js/arshia.js	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/js/arshia.js	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:58:18	147388/147388	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2031%20Dec%202018%2021:51:38%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/fonts/LineIcons.eot?y2l643	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/fonts/LineIcons5594.eot	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/plugins.css)
20:58:19	147216/147216	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2031%20Dec%202018%2021:51:38%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/fonts/LineIcons.ttf?y2l643	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/fonts/LineIcons5594.ttf	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/plugins.css)
20:58:20	147292/147292	---M--	200	added ('OK')	font/woff	date:Mon,%2031%20Dec%202018%2021:51:38%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/fonts/LineIcons.woff?y2l643	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/fonts/LineIcons5594.woff	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/plugins.css)
20:58:21	573011/573011	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2031%20Dec%202018%2021:51:38%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/fonts/LineIcons.svg?y2l643	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/fonts/LineIcons5594.svg	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/plugins.css)
20:58:21	1237/1237	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Aug%202020%2019:58:22%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/css/owl.video.play.png	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/css/owl.video.play.png	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/plugins.css)
20:58:23	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2025%20Jun%202018%2007:23:10%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/fonts/fontawesome-webfont.eot?v=4.7.0	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/fonts/fontawesome-webfont3e6e.eot	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/plugins.css)
20:58:24	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2025%20Jun%202018%2007:23:10%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/fonts/fontawesome-webfont.eot?	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/fonts/fontawesome-webfontd41d.eot	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/plugins.css)
20:58:24	77160/77160	---M--	200	added ('OK')	font/woff2	date:Mon,%2025%20Jun%202018%2007:23:10%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/plugins.css)
20:58:26	98024/98024	---M--	200	added ('OK')	font/woff	date:Mon,%2025%20Jun%202018%2007:23:10%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/fonts/fontawesome-webfont.woff?v=4.7.0	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/fonts/fontawesome-webfont3e6e.woff	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/plugins.css)
20:58:28	165548/165548	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2025%20Jun%202018%2007:23:10%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/plugins.css)
20:58:36	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2025%20Jun%202018%2007:23:10%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/fonts/fontawesome-webfont.svg?v=4.7.0	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/fonts/fontawesome-webfont3e6e.svg	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/plugins.css)
20:58:37	178/178	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Dec%202019%2012:33:10%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/cursor-white.png	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/cursor-white.png	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/main.css)
20:58:42	443698/443698	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Mar%202020%2020:44:06%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/slider-01.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/slider-01.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/main.css)
20:58:43	144296/144296	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Mar%202020%2020:44:22%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/slider-02.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/slider-02.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/main.css)
20:58:46	201288/201288	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Mar%202020%2020:44:34%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/slider-03.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/slider-03.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/main.css)
20:59:05	283851/283851	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Apr%202020%2007:00:30%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/snow-bg.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/snow-bg.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/main.css)
20:59:05	228898/228898	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Apr%202020%2008:06:56%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/hero-04.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/hero-04.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/main.css)
20:59:05	270138/270138	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Apr%202020%2008:07:00%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/home-bg-2.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/home-bg-2.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/assets/css/main.css)
